id	summary	status	owner	type	priority	milestone	component	severity	resolution	time	changetime	reporter
74	Write a tutorial about virtualfield	new		defect	default	docs	lino	medium		2015-01-25 09:33:44	2015-01-25 09:33:44	mahmoud
75	Drei Bescheinigungen auch in FR	closed		defect	default	gx-2015-01-25	lino	medium	invalid	2015-01-26 14:15:33	2015-01-27 16:04:16	luc
76	Sprache einer Bescheinigung manuell angeben	new		enhancement	default	gx-2015-02-04	lino	medium		2015-01-26 14:16:46	2015-02-05 00:15:03	gerd
77	"Move the ""hyperlink"" arrow of foreign key to the end, not at the beginning"	new		enhancement	default		lino	medium		2015-01-26 17:55:01	2015-01-26 17:55:01	joe
78	Remove confusing [+] and [-] buttons from top toolbar?	closed		oddness	default		lino	medium	fixed	2015-01-26 18:06:40	2015-01-26 18:32:30	joe
79	aids.RefundConfirmation.doctor : FK to Partner instead of Person?	closed		oddness	default	gx-2015-01-25	lino	medium	fixed	2015-01-26 18:35:16	2015-02-03 18:29:22	luc
80	Convert Partner to Person	closed		oddness	default	gx-2015-01-25	lino	medium	fixed	2015-01-26 18:42:58	2015-01-29 02:55:45	luc
81	RefundConfirmation : set doctor_type when doctor is known	closed		oddness	default	gx-2015-01-25	lino	medium	fixed	2015-01-26 18:44:07	2015-02-04 09:04:56	luc
82	Title of the detail window should be clickable	new		defect	default		lino	medium		2015-01-26 19:15:51	2015-01-26 19:15:51	joe
83	dd.chooser - allow to filter by master key	new		defect	default		lino	medium		2015-01-26 19:46:36	2015-01-26 19:47:18	joe
84	"Différencier entre ""Art.61"" et ""Art.60§7"""	closed	gerd	enhancement	default	mj-2014-12-20	welfare	medium	fixed	2015-01-31 07:46:32	2015-02-06 20:59:27	luc
85	Lino allows to edit contenttypes	new		defect	default		lino	medium		2015-02-01 11:25:28	2015-02-01 11:25:28	luc
86	Move Luc's blog out of Lino	new		task	default		lino	medium		2015-02-01 12:11:47	2015-02-01 12:11:47	luc
87	"Fehlermeldung nach ""Neuzugang zuweisen"""	closed		defect	default	gx-2015-01-25	welfare	medium	fixed	2015-02-03 16:29:31	2015-02-04 08:23:56	luc
88	Cannot create humanlinks.Links when working as Alicia	closed		defect	default	gx-2015-01-25	lino	medium	fixed	2015-02-03 17:02:04	2015-02-03 17:21:09	luc
89	Audible signal when a client is waiting for an agent	new		defect	default	gx-2015-02-04	lino	medium		2015-02-03 18:11:39	2015-02-05 00:15:03	luc
90	Client.create_visit should show all appointable users	closed		oddness	default	gx-2015-01-25	welfare	medium	fixed	2015-02-03 18:15:05	2015-02-03 18:15:16	luc
91	newcomers.Clients : new parameter & default values	new		enhancement	default	gx-2015-02-04	welfare	medium		2015-02-05 15:40:36	2015-02-05 15:40:36	luc
92	change menu when acting as another user	closed		defect	default	gx-2015-02-04	lino	medium	fixed	2015-02-05 15:46:16	2015-02-05 16:24:35	luc
93	unconfirmed grantings editable by all	new		defect	default	gx-2015-02-04	welfare	medium		2015-02-06 13:46:41	2015-02-06 13:46:41	luc
