id	summary	status	owner	type	priority	milestone	component	severity	resolution	time	changetime	reporter
94	'NoneType' object has no attribute 'attname' on RefuseClient	closed		defect	default	gx-2015-02-04	lino	medium	fixed	2015-02-09 18:07:27	2015-02-09 18:07:42	luc
95	"Onglet ""Intervenants"" vide pour certains utilisateurs"	closed		defect	default	mj-2015-02-06	welfare	medium	fixed	2015-02-09 21:03:37	2015-02-13 13:15:36	luc
96	Internal changes for generating the extjs javascript	new		defect	minor	inside	lino	heavy		2015-02-11 01:33:13	2015-02-11 01:33:13	luc
97	"Neues Feld ""ID Buchhaltung"" pro Klient"	closed		enhancement	default	gx-2015-02-09	welfare	medium	fixed	2015-02-11 09:41:17	2015-02-12 12:37:52	gerd
98	"New excerpt type ""file sheet"" for pcsw.Client (Aktenblatt eines Klienten)"	closed		enhancement	default	gx-2015-02-09	welfare	medium	fixed	2015-02-11 09:43:18	2015-02-12 12:37:52	gerd
99	"Boutons ""Excusé"" et ""Absent"""	closed		oddness	default	mj-2015-02-06	lino	medium	fixed	2015-02-13 13:17:40	2015-02-17 22:18:50	luc
100	UsersWithClients et bénéficiaires avec plusieurs interventions	new		enhancement	default	mj-2015-02-17	lino	medium		2015-02-13 13:18:53	2015-02-17 22:25:26	luc
101	Freins: utilisateur par défaut celui qui l'encode	closed		oddness	default	mj-2015-02-06	lino	medium	fixed	2015-02-13 14:50:07	2015-02-17 22:19:27	luc
102	Évaluations s'il y a plusieurs interventions actives	new		defect	default	mj-2015-02-17	welfare	medium		2015-02-17 22:23:10	2015-02-17 22:25:26	luc
103	Beim Erstellen einer AMK wird nicht die Apotheke übernommen, die in den Kontakten steht.	closed		oddness	default	gx-2015-02-13	welfare	medium	fixed	2015-02-18 13:55:13	2015-02-20 22:46:55	luc
104	Overlapping contracts are sometimes allowed	closed		defect	default	mj-2015-02-17	welfare	medium	fixed	2015-02-20 17:37:22	2015-03-25 08:24:41	luc
105	Changes in file_sheet.ods for pcsw.Client (Aktenblatt eines Klienten)	closed		enhancement	default	gx-2015-02-13	lino	medium	fixed	2015-02-20 17:38:48	2015-02-22 23:56:21	luc
106	Better information about stale generic relations (Broken GFKs)	closed		defect	default	gx-2015-02-13	lino	medium	fixed	2015-02-22 23:58:56	2015-02-23 00:11:37	luc
107	Make `lino.utils.jsgen` thread-safe	closed		enhancement	default	gx-2015-02-22	lino	medium	fixed	2015-02-25 02:15:44	2015-02-25 13:53:00	luc
108	"A command to ask ""Lino how do you do?"""	new		enhancement	default	gx-2015-03-04	lino	medium		2015-02-25 02:50:09	2015-03-04 05:11:58	luc
109	[Errno 39] Directory not empty: '.../lino/tmp/result.odt.1424701578.354042'	closed	mahmoud	defect	default	inside	lino	medium	fixed	2015-02-25 08:22:08	2015-02-26 22:29:55	mahmoud
110	Make cal.Event.assigned_to optional	new		enhancement	default	mj-2015-02-17	lino	medium		2015-02-25 08:45:36	2015-02-25 08:45:36	luc
111	Bescheinigungen Ausländerbeihilfe in FR	closed		defect	default	gx-2015-02-22	welfare	medium	fixed	2015-02-25 11:19:42	2015-02-25 13:48:46	gerd
112	setup() got an unexpected keyword argument 'known_values'	closed		oddness	default	mj-2015-02-17	lino	medium	fixed	2015-02-25 12:57:26	2015-02-25 15:35:31	mathieu
113	Bescheinigungen ohne Datum	closed		oddness	default	gx-2015-02-22	lino	medium	fixed	2015-02-26 07:37:43	2015-02-26 07:41:21	luc
114	client-side form validation for ActionFormPanel	new	mahmoud	oddness	default	Così 1.0	lino	medium		2015-02-26 14:41:59	2015-02-26 14:41:59	luc
115	Lino sollte nachfragen, bevor er eine neue Stadt anlegt	new		oddness	default	gx-2015-03-04	lino	medium		2015-03-03 22:07:07	2015-03-04 05:11:58	luc
116	Bessere Fehlermeldungen wenn Arzt falsch eingegeben	closed		oddness	default	gx-2015-02-26	lino	medium	fixed	2015-03-03 22:18:17	2015-03-04 04:37:49	luc
117	Ankreuzfelder newcomers_consultations und newcomers_appointments wieder zurück	closed		oddness	default	gx-2015-02-26	lino	medium	fixed	2015-03-03 22:22:52	2015-03-03 22:23:04	luc
118	Ähnliche Namen finden in Aktenkontrollliste	new		enhancement	default	gx-2015-03-04	lino	medium		2015-03-03 22:24:10	2015-03-04 05:11:58	luc
119	Lino allowed non-manager users to act as a colleague without profile	closed		defect	default	gx-2015-02-26	lino	medium	fixed	2015-03-04 05:09:51	2015-03-04 05:10:02	luc
120	Empfang -> Klienten default_params	new		defect	default	gx-2015-03-04	lino	medium		2015-03-05 16:48:06	2015-03-05 16:48:06	luc
121	pcsw.Client.id is editable	new		oddness	default	gx-2015-03-04	lino	medium		2015-03-05 16:49:01	2015-03-05 16:49:01	luc
122	"Aktenkontrollliste : Zustand ""Begleitet"", aber keine aktive Begleitung"	new		enhancement	default	gx-2015-03-04	lino	medium		2015-03-05 17:48:22	2015-03-05 17:48:22	luc
123	bénéficiaire d'un rendez-vous n'apparait pas dans la salle d'attente	closed		defect	default	mj-2015-02-17	lino	medium	fixed	2015-03-06 17:59:37	2015-03-09 23:47:25	luc
124	performance mysql	new		task	default	mj-2015-02-17	lino	medium		2015-03-06 18:01:20	2015-03-06 18:01:20	luc
125	optimize javascript usage	assigned	mahmoud	enhancement	default	inside	lino	medium		2015-03-09 17:52:07	2015-03-09 17:55:14	luc
126	Why Model.allow_cascaded_delete ?	new		oddness	default	inside	lino	medium		2015-03-09 20:36:21	2015-03-09 20:36:21	luc
127	Set primary address after reading eId card	closed		defect	default	mj-2015-02-17	welfare	medium	fixed	2015-03-11 07:57:46	2015-03-25 08:24:41	luc
128	"""Instructeur"" d'un atelier : pointer vers utilisateurs, pas vers personnes"	closed		defect	default	mj-2015-02-17	lino	medium	worksforme	2015-03-11 08:07:17	2015-03-11 08:20:22	mathieu
129	Manager acting as User should have user's menu	closed		oddness	default	inside	lino	medium	fixed	2015-03-19 20:59:56	2015-03-19 23:37:03	luc
130	checked in guests should appear in waiting guests	new		defect	default	mj-2015-02-17	lino	medium		2015-03-23 21:14:51	2015-03-23 21:14:51	luc
131	Cannot save RichTextField when editing in own window	new		defect	default	gx-2015-03-04	lino	medium		2015-03-25 03:02:58	2015-03-25 03:02:58	gerd
