MAAKOND;VALD;LINN/ ALEV/ ALEVIK/ KÜLA;TÄNAV/TALU;AADRESSILIIK;MAJAALGUS;MAJALOPP;SIHTNUMBER
"Harju";"";"Tallinn";"Lootuse pst";"linn";"64";"72";"11617"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"75";"81";"11617"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"83";"97";"11618"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"86";"94";"11619"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"96";"9999";"11620"
"Harju";"";"Tallinn";"Lootuse pst";"linn";"111";"9999";"11620"
"Harju";"";"Tallinn";"Lossi plats";"linn";"2";"9999";"10130"
"Harju";"";"Tallinn";"Lõuka";"linn";"0";"9999";"13521"
"Harju";"";"Tallinn";"Lõuna";"linn";"0";"9999";"11617"
"Harju";"";"Tallinn";"Lubja";"linn";"0";"9999";"10115"
"Harju";"";"Tallinn";"Luha";"linn";"1";"17";"10129"
"Harju";"";"Tallinn";"Luha";"linn";"2";"16";"10129"
"Harju";"";"Tallinn";"Luha";"linn";"18";"9999";"10131"
"Harju";"";"Tallinn";"Luha";"linn";"19";"9999";"10131"
"Harju";"";"Tallinn";"Lühike";"linn";"0";"9999";"11619"
"Harju";"";"Tallinn";"Lühike jalg";"linn";"0";"9999";"10130"
"Harju";"";"Tallinn";"Luige";"linn";"0";"9999";"13426"
"Harju";"";"Tallinn";"Luise";"linn";"0";"9999";"10142"
"Harju";"";"Tallinn";"Luisu";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Luite";"linn";"0";"9999";"11313"
"Harju";"";"Tallinn";"Lükati tee";"linn";"1";"1";"12012"
"Harju";"";"Tallinn";"Lükati tee";"linn";"2";"6";"12012"
"Harju";"";"Tallinn";"Lüli";"linn";"0";"9999";"10112"
"Harju";"";"Tallinn";"Lume";"linn";"0";"9999";"10416"
"Harju";"";"Tallinn";"Lumikellukese tee";"linn";"0";"9999";"11914"
"Harju";"";"Tallinn";"Lumiku";"linn";"0";"9999";"11913"
"Harju";"";"Tallinn";"Luste";"linn";"0";"9999";"10318"
"Harju";"";"Tallinn";"M. Härma";"linn";"10";"9999";"13612"
"Harju";"";"Tallinn";"M. Härma";"linn";"7";"13";"13612"
"Harju";"";"Tallinn";"M. Härma";"linn";"1";"5";"13615"
"Harju";"";"Tallinn";"M. Härma";"linn";"2";"8";"13615"
"Harju";"";"Tallinn";"M. Metsanurga";"linn";"0";"9999";"11617"
"Harju";"";"Tallinn";"Maakri";"linn";"0";"9999";"10145"
"Harju";"";"Tallinn";"Maasika";"linn";"0";"9999";"10614"
"Harju";"";"Tallinn";"Madala";"linn";"1";"3";"10313"
"Harju";"";"Tallinn";"Madala";"linn";"2";"14";"10313"
"Harju";"";"Tallinn";"Madala";"linn";"5";"5";"10311"
"Harju";"";"Tallinn";"Madala";"linn";"5A";"5A";"10315"
"Harju";"";"Tallinn";"Madala";"linn";"11";"17";"10315"
"Harju";"";"Tallinn";"Madala";"linn";"16";"30";"10315"
"Harju";"";"Tallinn";"Madara";"linn";"1";"29";"10612"
"Harju";"";"Tallinn";"Madara";"linn";"2";"18";"10612"
"Harju";"";"Tallinn";"Madara";"linn";"20";"30";"10613"
"Harju";"";"Tallinn";"Madara";"linn";"31";"37";"10613"
"Harju";"";"Tallinn";"Mäe";"linn";"0";"9999";"13628"
"Harju";"";"Tallinn";"Mäealuse";"linn";"0";"9999";"12618"
"Harju";"";"Tallinn";"Mäekalda";"linn";"1";"9999";"10127"
"Harju";"";"Tallinn";"Mäekalda";"linn";"2";"24";"10127"
"Harju";"";"Tallinn";"Mäekalda";"linn";"28";"9999";"10127"
"Harju";"";"Tallinn";"Mäekalda";"linn";"26";"26";"10147"
"Harju";"";"Tallinn";"Mäekõrtsi";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Mäepealse";"linn";"2";"2";"12618"
"Harju";"";"Tallinn";"Magasini";"linn";"0";"9999";"10138"
"Harju";"";"Tallinn";"Magdaleena";"linn";"0";"9999";"11312"
"Harju";"";"Tallinn";"Mähe tee";"linn";"0";"9999";"11912"
"Harju";"";"Tallinn";"Mähe-Kaasiku tee";"linn";"0";"9999";"11911"
"Harju";"";"Tallinn";"Mahla";"linn";"2";"58";"11213"
"Harju";"";"Tallinn";"Mahla";"linn";"65";"9999";"11215"
"Harju";"";"Tallinn";"Mahla";"linn";"64";"9999";"11215"
"Harju";"";"Tallinn";"Mahtra";"linn";"1";"9999";"13811"
"Harju";"";"Tallinn";"Mahtra";"linn";"2";"38";"13811"
"Harju";"";"Tallinn";"Mahtra";"linn";"40";"80";"13812"
"Harju";"";"Tallinn";"Mai";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Mai põik";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Maikellukese tee";"linn";"0";"9999";"11914"
"Harju";"";"Tallinn";"Mailase tee";"linn";"0";"9999";"12015"
"Harju";"";"Tallinn";"Maisi";"linn";"0";"9999";"10317"
"Harju";"";"Tallinn";"Majaka";"linn";"21";"33";"11416"
"Harju";"";"Tallinn";"Majaka";"linn";"29B";"29B";"11414"
"Harju";"";"Tallinn";"Majaka";"linn";"43";"43";"11414"
"Harju";"";"Tallinn";"Majaka";"linn";"2";"9999";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"5";"5";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"9";"9";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"13";"13";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"17";"17";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"19";"19";"11412"
"Harju";"";"Tallinn";"Majaka";"linn";"3";"3";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"7";"7";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"11";"11";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"15";"15";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"37";"41";"11411"
"Harju";"";"Tallinn";"Majaka";"linn";"45";"9999";"11411"
"Harju";"";"Tallinn";"Majaka põik";"linn";"0";"9999";"11414"
"Harju";"";"Tallinn";"Maleva";"linn";"0";"9999";"11711"
"Harju";"";"Tallinn";"Maleva põik";"linn";"0";"9999";"11711"
"Harju";"";"Tallinn";"Malmi";"linn";"0";"9999";"10412"
"Harju";"";"Tallinn";"Maneezi";"linn";"0";"9999";"10117"
"Harju";"";"Tallinn";"Mängu";"linn";"0";"9999";"11623"
"Harju";"";"Tallinn";"Männi";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Männiku tee";"linn";"104";"104V";"11216"
"Harju";"";"Tallinn";"Männiku tee";"linn";"106";"106";"11216"
"Harju";"";"Tallinn";"Männiku tee";"linn";"106B";"106B";"11216"
"Harju";"";"Tallinn";"Männiku tee";"linn";"123";"125";"11216"
"Harju";"";"Tallinn";"Männiku tee";"linn";"1";"35";"11214"
"Harju";"";"Tallinn";"Männiku tee";"linn";"30";"44";"11214"
"Harju";"";"Tallinn";"Männiku tee";"linn";"2";"24";"11624"
"Harju";"";"Tallinn";"Männiku tee";"linn";"46";"52";"11213"
"Harju";"";"Tallinn";"Männiku tee";"linn";"54";"74";"11212"
"Harju";"";"Tallinn";"Männiku tee";"linn";"102A";"102A";"11215"
"Harju";"";"Tallinn";"Männimetsa põik";"linn";"0";"9999";"10915"
"Harju";"";"Tallinn";"Männimetsa tee";"linn";"2";"30";"10915"
"Harju";"";"Tallinn";"Marati";"linn";"0";"9999";"11712"
"Harju";"";"Tallinn";"Mardi";"linn";"5";"9999";"10113"
"Harju";"";"Tallinn";"Mardi";"linn";"2";"9999";"10113"
"Harju";"";"Tallinn";"Marja";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Marjamaa";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Marta";"linn";"0";"9999";"11312"
"Harju";"";"Tallinn";"Masina";"linn";"0";"9999";"10144"
"Harju";"";"Tallinn";"Matka tee";"linn";"0";"9999";"11912"
"Harju";"";"Tallinn";"Mehaanika";"linn";"0";"9999";"10616"
"Harju";"";"Tallinn";"Meika";"linn";"0";"9999";"13426"
"Harju";"";"Tallinn";"Meleka";"linn";"0";"9999";"10615"
"Harju";"";"Tallinn";"Mere pst";"linn";"0";"9999";"10111"
"Harju";"";"Tallinn";"Merihärja";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Merimetsa tee";"linn";"0";"9999";"10614"
"Harju";"";"Tallinn";"Merivälja tee";"linn";"1";"5V";"11911"
"Harju";"";"Tallinn";"Merivälja tee";"linn";"2";"80";"11911"
"Harju";"";"Tallinn";"Merivälja tee";"linn";"94";"110";"12112"
"Harju";"";"Tallinn";"Mesika põik";"linn";"0";"9999";"12014"
"Harju";"";"Tallinn";"Mesila";"linn";"11";"19";"10914"
"Harju";"";"Tallinn";"Mesila";"linn";"14";"22";"10914"
"Harju";"";"Tallinn";"Mesila";"linn";"1";"9";"10919"
"Harju";"";"Tallinn";"Mesila";"linn";"21";"9999";"10922"
"Harju";"";"Tallinn";"Metalli";"linn";"0";"9999";"10615"
"Harju";"";"Tallinn";"Metsa";"linn";"1";"17";"11621"
"Harju";"";"Tallinn";"Metsa";"linn";"18A";"18A";"11617"
"Harju";"";"Tallinn";"Metsa";"linn";"31A";"31A";"11617"
"Harju";"";"Tallinn";"Metsa";"linn";"19";"27";"11616"
"Harju";"";"Tallinn";"Metsa";"linn";"20";"40A";"11618"
"Harju";"";"Tallinn";"Metsa";"linn";"31";"31";"11618"
"Harju";"";"Tallinn";"Metsa";"linn";"42";"56";"11619"
"Harju";"";"Tallinn";"Metsa";"linn";"53";"67";"11619"
"Harju";"";"Tallinn";"Metsa";"linn";"69";"9999";"11620"
"Harju";"";"Tallinn";"Metsa põik";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Metsakooli tee";"linn";"0";"9999";"12014"
"Harju";"";"Tallinn";"Metsavahi põik";"linn";"0";"9999";"11911"
"Harju";"";"Tallinn";"Metsaveere";"linn";"10";"9999";"10912"
"Harju";"";"Tallinn";"Metsaveere";"linn";"11";"9999";"10912"
"Harju";"";"Tallinn";"Metsaveere";"linn";"2";"8";"10913"
"Harju";"";"Tallinn";"Metsise";"linn";"0";"9999";"10615"
"Harju";"";"Tallinn";"Metsniku tee";"linn";"0";"9999";"11911"
"Harju";"";"Tallinn";"Mirta";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Mõigu";"linn";"0";"9999";"10112"
"Harju";"";"Tallinn";"Möldre tee";"linn";"0";"9999";"10915"
"Harju";"";"Tallinn";"Mõõna tee";"linn";"0";"9999";"12112"
"Harju";"";"Tallinn";"Mooni";"linn";"111";"113";"13423"
"Harju";"";"Tallinn";"Mooni";"linn";"117";"117";"13423"
"Harju";"";"Tallinn";"Mooni";"linn";"2";"28";"10613"
"Harju";"";"Tallinn";"Mooni";"linn";"30";"30";"10615"
"Harju";"";"Tallinn";"Mooni";"linn";"33";"45";"10615"
"Harju";"";"Tallinn";"Mooni";"linn";"36";"60";"10619"
"Harju";"";"Tallinn";"Mooni";"linn";"62";"74";"10620"
"Harju";"";"Tallinn";"Mooni";"linn";"71";"87";"10620"
"Harju";"";"Tallinn";"Mooni";"linn";"89";"95";"13424"
"Harju";"";"Tallinn";"Mooni";"linn";"105";"109";"13424"
"Harju";"";"Tallinn";"Mooni";"linn";"82";"98";"12916"
"Harju";"";"Tallinn";"Mooni";"linn";"102";"9999";"12916"
"Harju";"";"Tallinn";"Moora";"linn";"0";"9999";"11625"
"Harju";"";"Tallinn";"Retke tee";"linn";"2";"22";"13415"
"Harju";"";"Tallinn";"Riisika";"linn";"0";"9999";"11213"
"Harju";"";"Tallinn";"Kalevala";"linn";"7";"9999";"10914"
"Harju";"";"Tallinn";"Kalevipoja";"linn";"0";"9999";"13625"
"Harju";"";"Tallinn";"Kalmistu tee";"linn";"1";"11";"11214"
"Harju";"";"Tallinn";"Kalmistu tee";"linn";"22";"32";"11216"
"Harju";"";"Tallinn";"Kaluri";"linn";"0";"9999";"11712"
"Harju";"";"Tallinn";"Kanarbiku";"linn";"0";"9999";"10922"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"109";"157";"12918"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"16";"16";"10617"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"18";"18";"10617"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"3";"3A";"10615"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"39";"49";"10619"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"4";"14";"10621"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"51";"59";"10621"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"5";"33";"10616"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"67";"69";"12916"
"Harju";"";"Tallinn";"Mustamäe tee";"linn";"96";"110";"12917"
"Harju";"";"Tallinn";"Mustjõe";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Mustjõe põik";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Muti";"linn";"44";"9999";"10620"
"Harju";"";"Tallinn";"Muuga tee";"linn";"7";"7";"11914"
"Harju";"";"Tallinn";"Muuluka";"linn";"0";"9999";"10913"
"Harju";"";"Tallinn";"Müürivahe";"linn";"1";"9999";"10140"
"Harju";"";"Tallinn";"Müürivahe";"linn";"18";"9999";"10140"
"Harju";"";"Tallinn";"Müürivahe";"linn";"2";"2";"10146"
"Harju";"";"Tallinn";"Müürivahe";"linn";"12";"16";"10146"
"Harju";"";"Tallinn";"N. v. Glehni";"linn";"0";"9999";"11614"
"Harju";"";"Loksa";"Kalurite";"linn";"0";"9999";"74805"
"Harju";"";"Loksa";"Lasteaia";"linn";"0";"9999";"74805"
"Harju";"";"Loksa";"Lõuna";"linn";"0";"9999";"74806"
"Harju";"";"Loksa";"Maleva";"linn";"0";"9999";"74806"
"Harju";"";"Loksa";"Mere";"linn";"0";"9999";"74806"
"Harju";"";"Loksa";"Metsa";"linn";"0";"9999";"74806"
"Harju";"";"Loksa";"Nooruse";"linn";"2";"4";"74805"
"Harju";"";"Loksa";"Nooruse";"linn";"5";"9";"74806"
"Harju";"";"Loksa";"Nurme";"linn";"0";"9999";"74806"
"Harju";"";"Loksa";"Papli";"linn";"0";"9999";"74806"
"Harju";"";"Loksa";"Pärna";"linn";"2";"2";"74806"
"Harju";"";"Tallinn";"Valguse";"linn";"16";"9999";"11618"
"Harju";"";"Tallinn";"Valguse";"linn";"4";"6";"11211"
"Harju";"";"Tallinn";"Valguse";"linn";"7";"11";"11616"
"Harju";"";"Tallinn";"Valguta";"linn";"0";"9999";"11913"
"Harju";"";"Tallinn";"Välja";"linn";"0";"9999";"10616"
"Harju";"";"Tallinn";"Valukoja";"linn";"0";"9999";"11415"
"Harju";"";"Tallinn";"Valve";"linn";"1";"3";"10919"
"Harju";"";"Tallinn";"Valve";"linn";"6";"8";"11613"
"Harju";"";"Tallinn";"Vana-Kuuli";"linn";"0";"9999";"13619"
"Harju";"";"Tallinn";"Risti";"linn";"11";"15";"11214"
"Harju";"";"Tallinn";"Risti";"linn";"20";"20";"11214"
"Harju";"";"Tallinn";"Risti";"linn";"22";"22";"11214"
"Harju";"";"Tallinn";"Risti";"linn";"2";"14";"11624"
"Harju";"";"Tallinn";"Ristiku";"linn";"1";"15";"10612"
"Harju";"";"Tallinn";"Ristiku";"linn";"2";"12";"10612"
"Harju";"";"Tallinn";"Ristiku";"linn";"17";"33";"10611"
"Harju";"";"Tallinn";"Ristiku";"linn";"24";"50";"10320"
"Harju";"";"Tallinn";"Ristiku";"linn";"52";"60";"10319"
"Harju";"";"Tallinn";"Ristiku";"linn";"62";"70";"10317"
"Harju";"";"Tallinn";"Ristiku";"linn";"83";"95";"10318"
"Harju";"";"Tallinn";"Ristiku";"linn";"82";"84";"10318"
"Harju";"";"Tallinn";"Rivi";"linn";"0";"9999";"11316"
"Harju";"";"Tallinn";"Rocca al Mare";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Roheline";"linn";"16";"9999";"11621"
"Harju";"";"Tallinn";"Roheline";"linn";"1";"9";"11615"
"Harju";"";"Tallinn";"Roheline";"linn";"2";"2";"11622"
"Harju";"";"Tallinn";"Roheline aas";"linn";"0";"9999";"10150"
"Harju";"";"Tallinn";"Rohula";"linn";"0";"9999";"10912"
"Harju";"";"Tallinn";"Rohumaa";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Ronga";"linn";"0";"9999";"10620"
"Harju";"";"Tallinn";"Roo";"linn";"1";"21";"10611"
"Harju";"";"Tallinn";"Roo";"linn";"4";"18";"10611"
"Harju";"";"Tallinn";"Roo";"linn";"23";"9999";"10320"
"Harju";"";"Tallinn";"Roolahe";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Roopa";"linn";"0";"9999";"10136"
"Harju";"";"Tallinn";"Roosi";"linn";"0";"9999";"10922"
"Harju";"";"Tallinn";"Roostiku";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Rõugu";"linn";"0";"9999";"13522"
"Harju";"";"Tallinn";"Rukkilille tee";"linn";"0";"9999";"11914"
"Harju";"";"Tallinn";"Rulli";"linn";"0";"9999";"11214"
"Harju";"";"Tallinn";"Rummu tee";"linn";"0";"9999";"11911"
"Harju";"";"Tallinn";"Rutu";"linn";"0";"9999";"10130"
"Harju";"";"Tallinn";"Saadu";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Saagi";"linn";"0";"9999";"10916"
"Harju";"";"Tallinn";"Saare";"linn";"0";"9999";"12011"
"Harju";"";"Tallinn";"Saarepuu";"linn";"0";"9999";"10912"
"Harju";"";"Tallinn";"Saarma";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Saarma põik";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Sadama";"linn";"2";"9999";"10111"
"Harju";"";"Tallinn";"Saeveski";"linn";"0";"9999";"11214"
"Harju";"";"Tallinn";"Sagari";"linn";"0";"9999";"13522"
"Harju";"";"Tallinn";"Saha";"linn";"2";"22";"10920"
"Harju";"";"Tallinn";"Saha";"linn";"15";"21";"10921"
"Harju";"";"Tallinn";"Saha";"linn";"23";"9999";"10917"
"Harju";"";"Tallinn";"Saha";"linn";"48";"9999";"10917"
"Harju";"";"Tallinn";"Saiakang";"linn";"0";"9999";"10146"
"Harju";"";"Tallinn";"Sakala";"linn";"3";"9999";"10141"
"Harju";"";"Tallinn";"Salme";"linn";"0";"9999";"10413"
"Harju";"";"Tallinn";"Salu tee";"linn";"1";"15";"12112"
"Harju";"";"Tallinn";"Salu tee";"linn";"2";"16";"12112"
"Harju";"";"Tallinn";"Salu tee";"linn";"18";"18";"12111"
"Harju";"";"Tallinn";"Salve";"linn";"0";"9999";"11612"
"Harju";"";"Tallinn";"Sambla";"linn";"0";"9999";"11618"
"Harju";"";"Tallinn";"Sammu";"linn";"0";"9999";"11316"
"Harju";"";"Tallinn";"Sanatooriumi";"linn";"0";"9999";"10918"
"Harju";"";"Tallinn";"Sanglepa";"linn";"0";"9999";"12012"
"Harju";"";"Tallinn";"Sarapiku tee";"linn";"0";"9999";"11912"
"Harju";"";"Tallinn";"Sarapuu";"linn";"0";"9999";"12012"
"Harju";"";"Tallinn";"Särje";"linn";"27";"9999";"10922"
"Harju";"";"Tallinn";"Särje";"linn";"20";"9999";"10922"
"Harju";"";"Tallinn";"Särje";"linn";"1";"25";"10914"
"Harju";"";"Tallinn";"Särje";"linn";"4";"18";"10914"
"Harju";"";"Tallinn";"Särjesilma";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Sarra";"linn";"0";"9999";"13522"
"Harju";"";"Tallinn";"Saturni";"linn";"0";"9999";"10122"
"Harju";"";"Tallinn";"Saue";"linn";"0";"9999";"10612"
"Harju";"";"Tallinn";"Sauna";"linn";"0";"9999";"10140"
"Harju";"";"Tallinn";"Saviliiva tee";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Seebi";"linn";"15";"19";"11314"
"Harju";"";"Tallinn";"Seebi";"linn";"24";"40";"11314"
"Harju";"";"Tallinn";"Seebi";"linn";"3";"13";"11316"
"Harju";"";"Tallinn";"Seebi";"linn";"4";"22";"11316"
"Harju";"";"Tallinn";"Seedri";"linn";"0";"9999";"10912"
"Harju";"";"Tallinn";"Seedri põik";"linn";"0";"9999";"10912"
"Harju";"";"Tallinn";"Seemne";"linn";"0";"9999";"10617"
"Harju";"";"Tallinn";"Seene";"linn";"0";"9999";"11621"
"Harju";"";"Tallinn";"Seljaku";"linn";"0";"9999";"11611"
"Harju";"";"Tallinn";"Sepa";"linn";"0";"9999";"11712"
"Harju";"";"Tallinn";"Sepapere";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Sepise";"linn";"0";"9999";"11415"
"Harju";"";"Tallinn";"Serva";"linn";"10";"26";"11617"
"Harju";"";"Tallinn";"Serva";"linn";"11";"9999";"11617"
"Harju";"";"Tallinn";"Serva";"linn";"28";"9999";"11618"
"Harju";"";"Tallinn";"Serva";"linn";"3";"9";"11616"
"Harju";"";"Tallinn";"Serva";"linn";"2";"8";"11616"
"Harju";"";"Tallinn";"Side";"linn";"0";"9999";"11622"
"Harju";"";"Tallinn";"Sihi";"linn";"102";"116";"11620"
"Harju";"";"Tallinn";"Sihi";"linn";"109";"117";"11618"
"Harju";"";"Tallinn";"Sihi";"linn";"1";"19";"11624"
"Harju";"";"Tallinn";"Sihi";"linn";"4";"16";"11624"
"Harju";"";"Tallinn";"Sihi";"linn";"120";"9999";"10918"
"Harju";"";"Tallinn";"Sihi";"linn";"135";"9999";"10918"
"Harju";"";"Tallinn";"Sihi";"linn";"121";"133";"11613"
"Harju";"";"Tallinn";"Sihi";"linn";"21";"25";"11623"
"Harju";"";"Tallinn";"Sihi";"linn";"18";"24";"11623"
"Harju";"";"Tallinn";"Sihi";"linn";"27";"51";"11622"
"Harju";"";"Tallinn";"Sihi";"linn";"26";"48";"11622"
"Harju";"";"Tallinn";"Sihi";"linn";"50";"76";"11615"
"Harju";"";"Tallinn";"Sihi";"linn";"53";"67";"11615"
"Harju";"";"Tallinn";"Sihi";"linn";"71";"83";"11621"
"Harju";"";"Tallinn";"Sihi";"linn";"82";"88";"11621"
"Harju";"";"Tallinn";"Sihi";"linn";"85";"89";"11616"
"Harju";"";"Tallinn";"Sihi";"linn";"91";"107";"11617"
"Harju";"";"Tallinn";"Siia";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Siili";"linn";"2";"9999";"13413"
"Harju";"";"Tallinn";"Siili";"linn";"3";"9999";"13422"
"Harju";"";"Tallinn";"Siire";"linn";"0";"9999";"10618"
"Harju";"";"Tallinn";"Sikupilli";"linn";"2";"8";"11412"
"Harju";"";"Tallinn";"Sikupilli";"linn";"1";"5";"11412"
"Harju";"";"Tallinn";"Sikupilli";"linn";"7";"7";"11416"
"Harju";"";"Tallinn";"Sikupilli";"linn";"9";"9999";"11414"
"Harju";"";"Tallinn";"Sikupilli";"linn";"14";"9999";"11414"
"Harju";"";"Tallinn";"Silgu";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Silikaltsiidi";"linn";"0";"9999";"11216"
"Harju";"";"Tallinn";"Silla";"linn";"0";"9999";"11616"
"Harju";"";"Tallinn";"Silmiku";"linn";"0";"9999";"11913"
"Harju";"";"Tallinn";"Silmu";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Sinika";"linn";"0";"9999";"10613"
"Harju";"";"Tallinn";"Siniladva tee";"linn";"0";"9999";"11912"
"Harju";"";"Tallinn";"Sinilille";"linn";"0";"9999";"11212"
"Harju";"";"Tallinn";"Sinimäe";"linn";"0";"9999";"13816"
"Harju";"";"Tallinn";"Sinirebase";"linn";"0";"9999";"11217"
"Harju";"";"Tallinn";"Sinitiiva";"linn";"0";"9999";"11913"
"Harju";"";"Tallinn";"Sipelga";"linn";"0";"9999";"13423"
"Harju";"";"Tallinn";"Sirbi";"linn";"0";"9999";"11713"
"Harju";"";"Tallinn";"Sireli";"linn";"0";"9999";"10913"
"Harju";"";"Tallinn";"Sirge";"linn";"0";"9999";"10618"
"Harju";"";"Tallinn";"Sirptiiva";"linn";"0";"9999";"11913"
"Harju";"";"Tallinn";"Sisaski";"linn";"2";"36";"10913"
"Harju";"";"Tallinn";"Sisaski";"linn";"1";"29";"10913"
"Harju";"";"Tallinn";"Sisaski";"linn";"38";"9999";"10914"
"Harju";"";"Tallinn";"Sisaski";"linn";"31";"9999";"10914"
"Harju";"";"Tallinn";"Sitsi";"linn";"1";"17";"10313"
"Harju";"";"Tallinn";"Sõbra";"linn";"2";"30";"10920"
"Harju";"";"Tallinn";"Sõbra";"linn";"5";"29";"10920"
"Harju";"";"Tallinn";"Sõbra";"linn";"33";"9999";"10911"
"Harju";"";"Tallinn";"Sõbra põik";"linn";"0";"9999";"10911"
"Harju";"";"Tallinn";"Sõjakooli";"linn";"0";"9999";"11316"
"Harju";"";"Tallinn";"Sõle";"linn";"12";"14";"10611"
"Harju";"";"Tallinn";"Sõle";"linn";"18";"30";"10320"
"Harju";"";"Tallinn";"Sõle";"linn";"2";"10";"10612"
"Harju";"";"Tallinn";"Sõle";"linn";"34";"34";"10319"
"Harju";"";"Tallinn";"Sõle";"linn";"36";"40";"10317"
"Harju";"";"Tallinn";"Sõle";"linn";"42";"48";"10318"
"Harju";"";"Tallinn";"Sõle";"linn";"55";"59";"10311"
"Harju";"";"Tallinn";"Sõle";"linn";"54";"60";"10311"
"Harju";"";"Tallinn";"Sõle";"linn";"62";"64";"10313"
"Harju";"";"Tallinn";"Sõle";"linn";"65";"81";"10312"
"Harju";"";"Tallinn";"Sõlme";"linn";"0";"9999";"11612"
"Harju";"";"Tallinn";"Sõmera";"linn";"0";"9999";"10612"
"Harju";"";"Tallinn";"Sõnajala";"linn";"0";"9999";"10913"
"Harju";"";"Tallinn";"Soo";"linn";"0";"9999";"10414"
"Harju";"";"Tallinn";"Sookaskede pst";"linn";"0";"9999";"10915"
"Harju";"";"Tallinn";"Soolahe tee";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Soone põik";"linn";"0";"9999";"12616"
"Harju";"";"Tallinn";"Sooranna";"linn";"0";"9999";"13516"
"Harju";"";"Tallinn";"Soovildiku";"linn";"0";"9999";"10915"
"Harju";"";"Tallinn";"Soovõha tee";"linn";"0";"9999";"11912"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"2";"36";"10615"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"151";"161";"13417"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"179";"195";"13415"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"182";"190";"13424"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"192";"200";"13423"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"202";"220";"13416"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"211";"217";"13422"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"219";"219";"13414"
"Harju";"";"Tallinn";"Sõpruse pst";"linn";"225";"225";"13414"
"Harju";"";"Tallinn";"N. v. Glehni põik";"linn";"0";"9999";"11614"
"Harju";"";"Tallinn";"Naadi tee";"linn";"0";"9999";"11912"
"Harju";"";"Tallinn";"Naaritsa";"linn";"0";"9999";"10917"
"Harju";"";"Tallinn";"Nabra";"linn";"0";"9999";"10319"
"Harju";"";"Tallinn";"Naeri";"linn";"0";"9999";"10138"
"Harju";"";"Tallinn";"Nafta";"linn";"0";"9999";"10152"
"Harju";"";"Tallinn";"Näituse";"linn";"1";"15";"11623"
